plugin_id,scanner,title,description,plugin_type,is_eol
QUALYS100003,QUALYS,Microsoft Internet Explorer Cumulative Security Update Not Installed (MS03-048),"the cumulative security update for microsoft internet explorer (824145) is not installed. it eliminates the following five newly-discovered vulnerabilities.three vulnerabilities involve the cross-domain security model of internet explorer, which prevents windows of different domains from sharing information. these vulnerabilities could result in the execution of script in the my computer zone. an attacker could host a malicious web site that contains a web page designed to exploit this particular vulnerability, and persuade an unsuspecting user to view the web page. an attacker could also create an html e-mail message designed to exploit one of these vulnerabilities and persuade the user to view the html e-mail message. after the user has visited the malicious web site or viewed the malicious html e-mail message, the attacker could access information from other web sites, access files on a user's system, and run arbitrary code on a user's system. this code would run in the security context of the currently logged on user (can-2003-0814,can-2003-0815,can-2003-0816).another vulnerability involves the way that zone information is passed to an xml object within internet explorer. this vulnerability could allow an attacker to read local files on a user's system. to exploit this vulnerability, an attacker would have to host a malicious web site that contains a web page designed to exploit the particular vulnerability, and then persuade a user to view the web page. the attacker could also create an html e-mail message that is designed to exploit this vulnerability and persuade the user to view the html e-mail message. after the user visits the malicious web site or views the malicious html e-mail message, the user would then be prompted to download an html file. if the user accepts the download of this html file, an attacker could read local files that are in a known location on the user's system (can-2003-0817).another vulnerability involves performing a drag-and-drop operation during dynamic html (dhtml) events in internet explorer. this vulnerability could allow a file to be saved in a target location on the user's system if the user clicks a link. no dialog box would request that the user approve this download. to exploit one of these vulnerabilities, an attacker would have to host a malicious web site that contains a web page that has a specially-crafted link. the attacker would then have to persuade a user to click that link. the attacker could also create an html e-mail message that has a specially-crafted link, and then persuade the user to view the html e-mail message and then click the malicious link. if the user clicked this link, code of the attacker's choice could be saved on the user's computer in a targeted location (can-2003-0823).",,FALSE
QUALYS100031,QUALYS,Microsoft Internet Explorer window() Code Execution Vulnerability,"a critical vulnerability has been identified in microsoft internet explorer, which may be exploited by remote attackers to execute arbitrary commands. this flaw is due to a memory corruption error when processing malformed html pages containing specially crafted calls to javascript ""window()"" objects and ""onload"" events. the vulnerability may be exploited by remote attackers to take complete control of an affected system, simply by convincing a user to visit a malicious web page.",,FALSE
QUALYS100046,QUALYS,Microsoft Internet Explorer Cumulative Security Update (MS07-027),"multiple vulnerabilities exist in internet explorer. the most severe of the vulnerabilities could allow remote code execution.windows xp embedded systems:-for additional information regarding security updates for embedded systems, refer to the following msdn blog(s):may 2007 microsoft windows xp embedded supplement update now available on the ece(kb931768)",,FALSE
QUALYS100047,QUALYS,Cumulative Security Update for Internet Explorer (MS07-033),"multiple vulnerabilities exist in internet explorer. the most severe of these vulnerabilities could allow remote code execution.windows xp embedded systems:-for additional information regarding security updates for embedded systems, refer to the following msdn blog(s):june xpe updates now available on the ece site(kb933566)",,FALSE
QUALYS100050,QUALYS,Cumulative Security Update for Internet Explorer (MS07-045),"a remote code execution vulnerability exists in internet explorer versions 5.01, 6 and 7.windows xp embedded systems:-for additional information regarding security updates for embedded systems, refer to the following msdn blog(s):august 2007 monthly security updates are now available on the ece(kb937143)",,FALSE
QUALYS100051,QUALYS,Vector Markup Language Vulnerability Could Allow Remote Code Execution (MS07-050),"this microsoft update resolves a vulnerability in the vector markup language (vml) implementation in windows.windows xp embedded systems:-for additional information regarding security updates for embedded systems, refer to the following msdn blog(s):december 2008 updates are available (including for xpe sp3 and standard)(kb938127)october 2007 monthly security updates are now available on the ece(kb938127)august 2007 monthly security updates are now available on the ece(kb938127)",,FALSE
QUALYS100055,QUALYS,Internet Explorer Cumulative Security Update (MS08-010),"this critical security update involves internet explorer. this update resolves three privately reported vulnerabilities and one publicly reported vulnerability. this update modifies the way that internet explorer handles html and validates data, as well as the way it sets the kill bit for an activex control.windows xp embedded systems:-for additional information regarding security updates for embedded systems, refer to the following msdn blog(s):february security updates are now available(kb944533)",,FALSE
QUALYS100056,QUALYS,Internet Explorer Cumulative Security Update (MS08-024),"a remote code execution vulnerability exists in internet explorer because of the way that it processes data streams.windows xp embedded systems:-for additional information regarding security updates for embedded systems, refer to the following msdn blog(s):april security updates are available(kb947864)",,FALSE
QUALYS100058,QUALYS,Microsoft Internet Explorer Cumulative Security Update (MS08-031),"a remote code execution vulnerability exists in the way internet explorer displays a web page that contains certain unexpected method calls to html objects. the issue occurs because of the way that it processes data streams.windows xp embedded systems:-for additional information regarding security updates for embedded systems, refer to the following msdn blog(s):june 2008 security updates are now available(kb950759)",,FALSE
QUALYS10095,QUALYS,CGI Script Plusmail Present,"the cgi plusmail has been found on the host. if this is a script from powerscripts, some versions of it has a vulnerability that allows remote command execution.",,FALSE
QUALYS10334,QUALYS,nph-maillist Arbitrary Code Execution Vulnerability,"the perl script nph-maillist.pl is detected. it handles mailing lists, typically used to notify interested users of site updates. the software strips out the following characters commonly used on command lines: "":"" ""("" "")"" """" ""/"", as well as the space character. however, some versions of the script do not check for the ""`"" character. this means that any of the other filtered characters that are required in the command string may be replaced with a command that will output the desired character, enclosed in ""`"" characters.",,FALSE
QUALYS10355,QUALYS,Trend Micro Interscan Viruswall Configurations Modification Vulnerability,"interscan virus wall is a virus scanning software package distributed and maintained by trend micro. it is designed to scan for virus occurrences in both incoming and outgoing traffic via smtp, ftp, and http at the gateway of the network.",,FALSE
QUALYS10470,QUALYS,Cherokee HTTPD Insecure Privilege Release Vulnerability,"cherokee is a compact web server that provides fast delivery of web content. it is freely available and distributed under the gpl.the cherokee web server contains a vulnerability. port 80 on unix-based systems is a privileged port. normally, when a web server runs, it binds to port 80 as root and then drops privileges. however, cherokee does not properly implement the principle of ""least privilege"", and fails to drop root privileges after it binds to port 80.",,FALSE
QUALYS10474,QUALYS,Agora.CGI Cross-Site Scripting Vulnerability,"agora.cgi is a freely available, open-source shopping cart system. agora.cgi version 3.3e (and possibly other versions) is susceptible to the following vulnerability.agora.cgi contains an input validation error that may enable malicious users to perform cross-site scripting attacks. the agora.cgi script does not adequately filter html tags. as a result, it's possible for a malicious user to construct a link to a script containing maliciously constructed script code. when the link is clicked by an unknowing web user, the script code is executed on the user in the context of the site running agora.cgi.",,FALSE
QUALYS10482,QUALYS,Microsoft IIS Frontpage Extensions Path Disclosure Information Vulnerability,"a number of configuration (.cnf) files in microsoft iis could be used to disclose sensitive system information to remote users. allegedly, submitting a request for one of the following configuration files by way of '/_vti_pvt/' causes the host to reveal system path information:access.cnfbotinfs.cnfbots.cnflinkinfo.cnffor example, a request similar to the following will exploit this issue:get /_vti_pvt/file.cnfthis vulnerability has been found on iis/4.0, iis/5.0 and iis/5.1, when read access is allowed to the virtual directory ""_vti_pvt"". note that for iis/5.1, read access to this virtual directory is not allowed by default.",,FALSE
QUALYS10487,QUALYS,Microsoft Site Server 3.0 Cross-Site Scripting Vulnerability,"microsoft site server is designed to run on microsoft windows nt server platforms. it provides a means for users on a corporate intranet to share, publish and find information. site server commerce edition incorporates these same features, and provides an interface for e-commerce sites to interact and conduct business with customers and suppliers.various microsoft site server asp pages are prone to cross-site scripting attacks. these asp pages do not filter html tags from url parameters. as a result, it's possible for a malicious user to create a link to a vulnerable asp page containing arbitrary script code. if a legitimate user browses the link, the script code will be executed in the user's browser in the context of the microsoft site server site.the vulnerable asp pages require that the user authenticate to the pages before accessing them. therefore, the malicious user may have an opportunity to steal cookie-based authentication credentials from the legitimate user. default.asp and formslogin.asp are known to be prone to this issue, and it's been reported that several other asp pages are also affected.",,FALSE
QUALYS105138,QUALYS,EOL/Obsolete Hardware: Juniper NetScreen-5GT Detected,"juniper ended support for netscreen-5gt on december 31, 2013 and provides no further support for this device.",,TRUE
QUALYS105233,QUALYS,Red Hat Adobe Acrobat Reader UnixAppOpenFilePerform Buffer Overflow Vulnerability,"a buffer overflow vulnerability has been reported in adobe acrobat reader. the vulnerability is caused due to a boundary error in ""unixappopenfileperform()"" when acrobat reader is opening a document containing a ""/filespec"" tag. the vulnerability has been reported in adobe acrobat reader for unix versions 5.0.10 and earlier.",,FALSE
QUALYS105337,QUALYS,EOL/Obsolete Software: Microsoft Office 2000 Service Pack 3 (SP3) Detected,"microsoft office 2000 service pack 3 has been detected on the host. microsoft ended support for office 2000 on july 14, 2009 and provides no further support for that specific service pack level.",,TRUE
QUALYS105338,QUALYS,EOL/Obsolete Operating System: Microsoft Windows Vista RTM Detected,"the host is running windows vista with no service packs installed (referred to as rtm or sp0). microsoft ended support for windows vista rtm on april 13, 2010 and provides no further support for that specific service pack level.",,TRUE
QUALYS105339,QUALYS,EOL/Obsolete Operating System: Microsoft Windows Server 2003 RTM Detected,"the host is running windows server 2003 with no service packs installed (referred to as rtm or sp0). microsoft ended support for windows server 2003 rtm on april 10, 2007 and provides no further support for that specific service pack level.",,TRUE
QUALYS105340,QUALYS,EOL/Obsolete Operating System: Microsoft Windows Server 2003 Service Pack 1 (SP1) Detected,"the host is running windows server 2003 with service pack 1 installed (sp1). microsoft ended support for windows server 2003 sp1 on april 14, 2009 and provides no further support for that specific service pack level.",,TRUE
QUALYS105341,QUALYS,EOL/Obsolete Software: Microsoft Office 2000 Service Pack 2 (SP2) Detected,"microsoft office 2000 service pack 2 is detected on host. microsoft ended support for office 2000 sp2 on january 21, 2003 and provides no further support for that specific service pack level.",,TRUE
QUALYS105342,QUALYS,EOL/Obsolete Software: Microsoft Office 2003 RTM Detected,microsoft office 2003 rtm (also known as service pack 0) is detected on the host.,,TRUE
QUALYS105343,QUALYS,EOL/Obsolete Software: Microsoft Office 2003 Service Pack 1 (SP1) Detected,microsoft office 2003 service pack 1 is detected on host.,,TRUE
QUALYS105344,QUALYS,EOL/Obsolete Software: Microsoft Office 2003 Service Pack 2 (SP2) Detected,microsoft office 2003 service pack 2 is detected on host.,,TRUE
QUALYS105345,QUALYS,EOL/Obsolete Software: Microsoft Office XP RTM Detected,microsoft office xp rtm (also known as service pack 0) is detected on host.,,TRUE
QUALYS105346,QUALYS,EOL/Obsolete Software: Microsoft Office XP Service Pack 1 (SP1) Detected,microsoft office xp service pack 1 is detected on host.,,TRUE
QUALYS105347,QUALYS,EOL/Obsolete Software: Microsoft Office XP Service Pack 2 (SP2) Detected,microsoft office xp service pack 2 is detected on host.,,TRUE
QUALYS105348,QUALYS,EOL/Obsolete Software: Microsoft Office 2007 RTM Detected,microsoft office 2007 rtm  (also known as service pack 0) is detected on host.,,TRUE
QUALYS105349,QUALYS,EOL/Obsolete Operating System: Microsoft Windows 2000 Service Pack 1 (SP1) Detected,"the host is running windows 2000 with service pack 1 installed (sp1). microsoft ended support for windows server 2000 sp1 on september 1, 2002 and provides no further support for that specific service pack level.",,TRUE
QUALYS105350,QUALYS,EOL/Obsolete Operating System: Microsoft Windows 2000 Service Pack 2 (SP2) Detected,"the host is running windows 2000 with service pack 2 installed (sp2). microsoft ended support for windows server 2000 sp2 on june 30, 2004 and provides no further support for that specific service pack level.",,TRUE
QUALYS105351,QUALYS,EOL/Obsolete Operating System: Microsoft Windows 2000 Service Pack 3 (SP3) Detected,"the host is running windows 2000 with service pack 3 installed (sp3). microsoft ended support for windows server 2000 sp3 on june 30, 2005 and provides no further support for that specific service pack level.",,TRUE
QUALYS105352,QUALYS,EOL/Obsolete Operating System: Microsoft Windows XP Service Pack 1 (SP1) Detected,"the host is running windows xp with service pack 1 installed (sp1). microsoft ended support for windows xp sp1 on october 10, 2006 and provides no further support for that specific service pack level.",,TRUE
QUALYS105353,QUALYS,EOL/Obsolete Operating System: Microsoft Windows XP RTM Detected,"the host is running windows windows xp rtm . microsoft ended support for windows xp rtm on august 30, 2005 and provides no further support for that specific service pack level.",,TRUE
QUALYS105354,QUALYS,EOL/Obsolete Software: Adobe Reader 7.x Detected,"the host has adobe reader 7.x installed. adobe ended support for adobe reader 7.x on december 12, 2009 and provides no further support for the specific version.",,TRUE
QUALYS105356,QUALYS,EOL/Obsolete Software: Microsoft .NET Framework 1.0 Detected,".net framework 1.0 was detected on the target host. microsoft ended support for .net framework 1.0 on july 14, 2009 and provides no further support for that specific version.",,TRUE
QUALYS105357,QUALYS,EOL/Obsolete Software: Microsoft .NET Framework 1.1 Detected,.net framework 1.1 was detected on the target host. microsoft ended support for .net framework 1.1 and provides no further support for the specific versions.,,TRUE
